origin_id,origin_name,origin_lat,origin_lng,dest_id,dest_name,dest_lat,dest_lng,distance_km,osrm_base_duration_min,time_of_day,day_type,traffic_multiplier,travel_time_minutes
39,Seeduwa,7.1175,79.8928,100,Colombo 02,6.9178,79.8464,30.71,33.24,morning_peak,weekday,1.8,58.01
10,Mount Lavinia,6.8311,79.865,69,Pelawatte,6.8908,79.9311,15.19,22.8,night,weekday,0.85,16.56
19,Panadura,6.7136,79.9042,58,Avissawella,6.9472,80.2108,70.71,77.84,midday,weekday,1.2,98.56
16,Nugegoda,6.8689,79.8889,24,Hokandara,6.8494,79.9575,9.11,15.2,night,weekend,0.807,13.63
32,Biyagama,6.9753,80.0008,91,Pannala,7.2956,80.0394,44.02,62.87,evening_peak,weekday,2,128.51
33,Kelaniya,7.0017,79.9219,61,Panadura South,6.695,79.905,54.47,55.23,evening_peak,weekend,1.4,74.68
33,Kelaniya,7.0017,79.9219,40,Katunayake,7.1697,79.8847,32.39,31,night,weekday,0.85,22.95
95,Beruwala,6.4781,79.9833,46,Mirigama,7.2453,80.1217,104.8,102.84,morning_peak,weekday,1.8,195.28
81,Heiyanthuduwa,6.9444,80.0431,90,Bloemendhal,6.96,79.8647,24.78,37.15,midday,weekend,1.02,32.47
34,Peliyagoda,6.9711,79.8906,7,Bambalapitiya,6.8867,79.8567,12.89,18.39,morning_peak,weekday,1.8,34.38
29,Kaduwela,6.9358,79.9778,36,Ragama,7.0261,79.9181,15.55,18.2,midday,weekend,1.02,18.83
73,Modara,6.9714,79.8681,24,Hokandara,6.8494,79.9575,21.64,32.73,evening_peak,weekend,1.4,44.62
82,Pasyala,7.0911,80.1394,96,Aluthgama,6.4333,79.9992,103.59,96.38,midday,weekend,1.02,108.88
55,Homagama,6.8444,80.0044,13,Mattakkuliya,6.9703,79.8778,27.99,35.18,evening_peak,weekday,2,67.78
62,Ingiriya,6.7344,80.1058,84,Yakkala,7.1019,80.0767,63.31,66.44,night,weekday,0.85,63.18
49,Kirindiwela,6.9928,80.0944,100,Colombo 02,6.9178,79.8464,36.1,55.21,morning_peak,weekend,1.17,56.68
71,Colombo Port,6.95,79.8378,28,Malabe,6.9061,79.9519,17.77,28.9,night,weekend,0.807,23.85
16,Nugegoda,6.8689,79.8889,69,Pelawatte,6.8908,79.9311,8.76,13.45,midday,weekday,1.2,16.98
100,Colombo 02,6.9178,79.8464,53,Mahara,7.0547,80.0153,28.14,36.84,evening_peak,weekend,1.4,45.25
42,Gampaha,7.0878,79.9992,58,Avissawella,6.9472,80.2108,40.2,54.73,morning_peak,weekday,1.8,96.79
87,Gothatuwa,6.9217,79.9856,93,Gonawala,7.1539,79.9819,33.61,42.37,midday,weekday,1.2,45.4
74,Orugodawatta,6.9486,79.8886,58,Avissawella,6.9472,80.2108,45.26,59.06,evening_peak,weekday,2,103.38
13,Mattakkuliya,6.9703,79.8778,40,Katunayake,7.1697,79.8847,29.83,26.89,morning_peak,weekend,1.17,33.41
5,Cinnamon Gardens,6.9011,79.8601,29,Kaduwela,6.9358,79.9778,16.92,23.32,morning_peak,weekend,1.17,26.26
65,Pepiliyana,6.8528,79.9183,86,Pittugala,6.9133,79.9694,15.07,21.11,evening_peak,weekend,1.4,33.86
4,Borella,6.9113,79.8778,36,Ragama,7.0261,79.9181,16.58,22.12,midday,weekday,1.2,28.75
54,Liyanagemulla,7.1378,79.8853,39,Seeduwa,7.1175,79.8928,3.81,6.71,midday,weekend,1.02,6.05
67,Kahathuduwa,6.7981,80.0133,45,Divulapitiya,7.2278,80.06,62.46,70.05,morning_peak,weekday,1.8,109.31
92,Ekala,7.0761,79.9283,72,Mutwal,6.9617,79.8522,20.36,33.14,morning_peak,weekday,1.8,64.06
77,Kerawalapitiya,6.9883,79.8658,92,Ekala,7.0761,79.9283,17.03,27.15,night,weekday,0.85,21.59
56,Padukka,6.8361,80.0872,33,Kelaniya,7.0017,79.9219,35.61,42.89,morning_peak,weekend,1.17,42.84
32,Biyagama,6.9753,80.0008,45,Divulapitiya,7.2278,80.06,34.69,46.25,morning_peak,weekend,1.17,54.56
75,Baseline Road,6.9067,79.8869,36,Ragama,7.0261,79.9181,17.65,23.75,evening_peak,weekend,1.4,33.48
49,Kirindiwela,6.9928,80.0944,14,Dematagoda,6.9261,79.88,29.96,48,midday,weekend,1.02,51.85
3,Maradana,6.92,79.8617,16,Nugegoda,6.8689,79.8889,8.63,12.95,evening_peak,weekend,1.4,20.62
16,Nugegoda,6.8689,79.8889,72,Mutwal,6.9617,79.8522,13.26,20.19,midday,weekday,1.2,23.03
92,Ekala,7.0761,79.9283,36,Ragama,7.0261,79.9181,7.77,16.9,midday,weekday,1.2,20.79
92,Ekala,7.0761,79.9283,41,Negombo,7.2089,79.8353,24.39,31.62,morning_peak,weekday,1.8,48.93
73,Modara,6.9714,79.8681,33,Kelaniya,7.0017,79.9219,9.62,14.97,midday,weekday,1.2,16.73
13,Mattakkuliya,6.9703,79.8778,46,Mirigama,7.2453,80.1217,51.37,61.04,morning_peak,weekend,1.17,69.63
69,Pelawatte,6.8908,79.9311,47,Nittambuwa,7.1497,80.18,58.43,68.96,night,weekday,0.85,65.24
5,Cinnamon Gardens,6.9011,79.8601,33,Kelaniya,7.0017,79.9219,16.11,23.36,evening_peak,weekday,2,53.52
11,Kotahena,6.9531,79.8597,85,Hendala,6.9894,79.9019,10.63,16.18,evening_peak,weekday,2,35.56
49,Kirindiwela,6.9928,80.0944,77,Kerawalapitiya,6.9883,79.8658,33.42,51.47,morning_peak,weekday,1.8,82.47
21,Ratmalana,6.82,79.8817,55,Homagama,6.8444,80.0044,16.84,24.76,night,weekend,0.807,22.99
3,Maradana,6.92,79.8617,53,Mahara,7.0547,80.0153,26.31,33.83,evening_peak,weekend,1.4,51.01
83,Attanagalla,7.175,80.0706,17,Maharagama,6.8467,79.9283,51.93,57.78,morning_peak,weekday,1.8,96.25
45,Divulapitiya,7.2278,80.06,77,Kerawalapitiya,6.9883,79.8658,47.36,58.06,morning_peak,weekend,1.17,73.17
34,Peliyagoda,6.9711,79.8906,92,Ekala,7.0761,79.9283,15.61,24.93,morning_peak,weekday,1.8,44.85
54,Liyanagemulla,7.1378,79.8853,3,Maradana,6.92,79.8617,33.59,32.47,evening_peak,weekend,1.4,46.17
5,Cinnamon Gardens,6.9011,79.8601,94,Welisara North,7.02,79.89,18.24,21.98,night,weekday,0.85,16.63
47,Nittambuwa,7.1497,80.18,23,Athurugiriya,6.8783,79.9917,53.81,63.17,evening_peak,weekday,2,134.08
51,Kadawatha,7.0072,79.9508,38,Ja-Ela,7.0733,79.8917,14.89,18.52,evening_peak,weekend,1.4,26.77
82,Pasyala,7.0911,80.1394,30,Mulleriyawa,6.9317,79.9514,38.83,48,evening_peak,weekday,2,102.52
38,Ja-Ela,7.0733,79.8917,97,Maththegoda,6.8103,80.0478,50.89,53.05,evening_peak,weekday,2,109.99
51,Kadawatha,7.0072,79.9508,81,Heiyanthuduwa,6.9444,80.0431,19.61,28.27,night,weekday,0.85,27.1
74,Orugodawatta,6.9486,79.8886,17,Maharagama,6.8467,79.9283,16.63,24.54,morning_peak,weekday,1.8,50.53
53,Mahara,7.0547,80.0153,66,Pannipitiya,6.8308,79.9661,32.6,33.84,midday,weekday,1.2,37.44
23,Athurugiriya,6.8783,79.9917,55,Homagama,6.8444,80.0044,4.75,7.84,evening_peak,weekday,2,16.61
4,Borella,6.9113,79.8778,56,Padukka,6.8361,80.0872,27.59,37.2,midday,weekend,1.02,38.12
32,Biyagama,6.9753,80.0008,50,Ganemulla,7.0922,80.0225,15.9,21.91,evening_peak,weekday,2,48.05
82,Pasyala,7.0911,80.1394,92,Ekala,7.0761,79.9283,29.19,43.29,midday,weekday,1.2,52.71
5,Cinnamon Gardens,6.9011,79.8601,12,Grandpass,6.9425,79.8706,6.4,10.37,morning_peak,weekday,1.8,18.69
45,Divulapitiya,7.2278,80.06,27,Battaramulla,6.8994,79.9164,50.55,64.6,morning_peak,weekend,1.17,78.48
56,Padukka,6.8361,80.0872,94,Welisara North,7.02,79.89,39.66,41.86,morning_peak,weekday,1.8,64.1
36,Ragama,7.0261,79.9181,1,Colombo Fort,6.9344,79.8428,16.2,21.5,morning_peak,weekday,1.8,44.35
47,Nittambuwa,7.1497,80.18,56,Padukka,6.8361,80.0872,45.22,69.84,midday,weekday,1.2,80.51
88,Thimbirigasyaya,6.8839,79.8778,2,Pettah,6.9354,79.8517,8.72,12.63,evening_peak,weekday,2,23.38
7,Bambalapitiya,6.8867,79.8567,3,Maradana,6.92,79.8617,5.36,7.52,night,weekday,0.85,6.45
18,Piliyandala,6.8017,79.9247,38,Ja-Ela,7.0733,79.8917,38.72,43.23,evening_peak,weekday,2,80.47
28,Malabe,6.9061,79.9519,74,Orugodawatta,6.9486,79.8886,12.69,20.71,evening_peak,weekend,1.4,25.42
44,Minuwangoda,7.1667,79.9506,25,Boralesgamuwa,6.8372,79.9111,47.07,58.15,night,weekday,0.85,52.08
67,Kahathuduwa,6.7981,80.0133,18,Piliyandala,6.8017,79.9247,11.86,16.84,morning_peak,weekday,1.8,31.1
8,Wellawatte,6.875,79.8617,40,Katunayake,7.1697,79.8847,38.18,36.73,midday,weekday,1.2,41.22
6,Kollupitiya,6.8978,79.85,52,Kiribathgoda,6.9822,79.9486,18.87,27.4,evening_peak,weekday,2,52.43
70,Koswatta,6.9194,79.9211,33,Kelaniya,7.0017,79.9219,13.25,22.9,morning_peak,weekday,1.8,39.56
4,Borella,6.9113,79.8778,94,Welisara North,7.02,79.89,15.59,18.12,morning_peak,weekday,1.8,29.42
55,Homagama,6.8444,80.0044,9,Dehiwala,6.8517,79.865,16.93,23.18,morning_peak,weekday,1.8,40.6
36,Ragama,7.0261,79.9181,24,Hokandara,6.8494,79.9575,28.43,33.99,morning_peak,weekday,1.8,69.8
4,Borella,6.9113,79.8778,79,Weboda,7.0364,79.9869,21.73,27.76,evening_peak,weekday,2,50.04
51,Kadawatha,7.0072,79.9508,62,Ingiriya,6.7344,80.1058,46.68,45.93,night,weekday,0.85,39.88
51,Kadawatha,7.0072,79.9508,45,Divulapitiya,7.2278,80.06,33.31,43.27,evening_peak,weekday,2,81.96
19,Panadura,6.7136,79.9042,84,Yakkala,7.1019,80.0767,64.83,67.24,midday,weekday,1.2,71.36
90,Bloemendhal,6.96,79.8647,14,Dematagoda,6.9261,79.88,5.84,8.96,midday,weekday,1.2,9.64
100,Colombo 02,6.9178,79.8464,77,Kerawalapitiya,6.9883,79.8658,10.48,15.84,evening_peak,weekday,2,30.13
10,Mount Lavinia,6.8311,79.865,5,Cinnamon Gardens,6.9011,79.8601,8.57,11.63,morning_peak,weekend,1.17,12.88
2,Pettah,6.9354,79.8517,84,Yakkala,7.1019,80.0767,34.42,44.91,morning_peak,weekday,1.8,87.15
75,Baseline Road,6.9067,79.8869,15,Narahenpita,6.8981,79.8742,3.63,5.66,midday,weekday,1.2,6.48
49,Kirindiwela,6.9928,80.0944,69,Pelawatte,6.8908,79.9311,26.57,44.47,night,weekend,0.807,31.86
75,Baseline Road,6.9067,79.8869,9,Dehiwala,6.8517,79.865,9.96,14.44,morning_peak,weekday,1.8,29.32
64,Gangodawila,6.8567,79.8994,22,Kottawa,6.8244,79.9628,12.79,15.51,morning_peak,weekend,1.17,19.93
14,Dematagoda,6.9261,79.88,60,Bandaragama,6.7167,79.9833,30.05,37.67,morning_peak,weekday,1.8,74.21
78,Kadawatha Junction,7.0028,79.9556,26,Rajagiriya,6.9111,79.8989,17.6,22.88,night,weekday,0.85,19.96
18,Piliyandala,6.8017,79.9247,40,Katunayake,7.1697,79.8847,46.97,48.39,midday,weekend,1.02,55.28
38,Ja-Ela,7.0733,79.8917,97,Maththegoda,6.8103,80.0478,50.89,53.05,evening_peak,weekday,2,97.58
97,Maththegoda,6.8103,80.0478,66,Pannipitiya,6.8308,79.9661,14.67,23.76,evening_peak,weekend,1.4,34.5
51,Kadawatha,7.0072,79.9508,70,Koswatta,6.9194,79.9211,14.2,23.19,night,weekday,0.85,18.74
64,Gangodawila,6.8567,79.8994,15,Narahenpita,6.8981,79.8742,6.97,10.94,night,weekday,0.85,9.97
27,Battaramulla,6.8994,79.9164,36,Ragama,7.0261,79.9181,20.93,27.09,night,weekend,0.807,23.23
27,Battaramulla,6.8994,79.9164,55,Homagama,6.8444,80.0044,15.07,22.16,morning_peak,weekday,1.8,42.45
5,Cinnamon Gardens,6.9011,79.8601,74,Orugodawatta,6.9486,79.8886,8.74,15.32,midday,weekend,1.02,13.8
100,Colombo 02,6.9178,79.8464,88,Thimbirigasyaya,6.8839,79.8778,7.75,11.28,evening_peak,weekday,2,22.83
29,Kaduwela,6.9358,79.9778,47,Nittambuwa,7.1497,80.18,46.49,57.16,midday,weekend,1.02,49.77
36,Ragama,7.0261,79.9181,26,Rajagiriya,6.9111,79.8989,18.68,25.13,morning_peak,weekday,1.8,40.91
74,Orugodawatta,6.9486,79.8886,38,Ja-Ela,7.0733,79.8917,21.35,21.31,morning_peak,weekday,1.8,35.92
12,Grandpass,6.9425,79.8706,90,Bloemendhal,6.96,79.8647,3.49,6,evening_peak,weekday,2,12.4
60,Bandaragama,6.7167,79.9833,43,Veyangoda,7.1522,80.1128,62.74,60.99,night,weekday,0.85,54.9
37,Kandana,7.0508,79.9058,72,Mutwal,6.9617,79.8522,15.37,23.55,evening_peak,weekend,1.4,31.73
9,Dehiwala,6.8517,79.865,51,Kadawatha,7.0072,79.9508,24.4,32.77,evening_peak,weekend,1.4,51.74
23,Athurugiriya,6.8783,79.9917,1,Colombo Fort,6.9344,79.8428,20.05,26.26,morning_peak,weekend,1.17,33.85
54,Liyanagemulla,7.1378,79.8853,87,Gothatuwa,6.9217,79.9856,41.24,39.99,night,weekend,0.807,32.47
40,Katunayake,7.1697,79.8847,15,Narahenpita,6.8981,79.8742,33.73,30.54,midday,weekday,1.2,34.84
52,Kiribathgoda,6.9822,79.9486,57,Hanwella,6.9042,80.0842,21.71,29.59,morning_peak,weekday,1.8,51.63
25,Boralesgamuwa,6.8372,79.9111,90,Bloemendhal,6.96,79.8647,19.12,26.29,night,weekday,0.85,21.32
34,Peliyagoda,6.9711,79.8906,91,Pannala,7.2956,80.0394,49.6,67.17,midday,weekday,1.2,79.45
51,Kadawatha,7.0072,79.9508,54,Liyanagemulla,7.1378,79.8853,23.16,29.67,morning_peak,weekday,1.8,52.11
88,Thimbirigasyaya,6.8839,79.8778,33,Kelaniya,7.0017,79.9219,16.4,23.71,midday,weekday,1.2,29.58
28,Malabe,6.9061,79.9519,85,Hendala,6.9894,79.9019,15.41,25.4,midday,weekend,1.02,25.59
20,Moratuwa,6.7731,79.8817,86,Pittugala,6.9133,79.9694,31.77,34.73,morning_peak,weekend,1.17,40.66
1,Colombo Fort,6.9344,79.8428,96,Aluthgama,6.4333,79.9992,76.52,74.59,morning_peak,weekend,1.17,79.68
83,Attanagalla,7.175,80.0706,62,Ingiriya,6.7344,80.1058,69.45,73.73,morning_peak,weekday,1.8,114.26
30,Mulleriyawa,6.9317,79.9514,16,Nugegoda,6.8689,79.8889,12.38,22.85,evening_peak,weekday,2,49.48
47,Nittambuwa,7.1497,80.18,66,Pannipitiya,6.8308,79.9661,60.76,70.05,evening_peak,weekday,2,139.97
51,Kadawatha,7.0072,79.9508,63,Kirulapone,6.8742,79.8825,20.42,27.7,morning_peak,weekday,1.8,43.51
3,Maradana,6.92,79.8617,32,Biyagama,6.9753,80.0008,21.18,28.85,morning_peak,weekend,1.17,34.02
97,Maththegoda,6.8103,80.0478,87,Gothatuwa,6.9217,79.9856,23.2,31.81,night,weekend,0.807,28.51
8,Wellawatte,6.875,79.8617,65,Pepiliyana,6.8528,79.9183,8.02,12.55,evening_peak,weekday,2,22.81
72,Mutwal,6.9617,79.8522,54,Liyanagemulla,7.1378,79.8853,28.78,32.2,midday,weekday,1.2,43.13
92,Ekala,7.0761,79.9283,8,Wellawatte,6.875,79.8617,34.47,41.23,morning_peak,weekday,1.8,79.16
46,Mirigama,7.2453,80.1217,16,Nugegoda,6.8689,79.8889,58.61,71.89,midday,weekday,1.2,78.63
95,Beruwala,6.4781,79.9833,55,Homagama,6.8444,80.0044,52.15,50.73,night,weekday,0.85,37.76
23,Athurugiriya,6.8783,79.9917,85,Hendala,6.9894,79.9019,25.66,26.8,morning_peak,weekday,1.8,49.44
60,Bandaragama,6.7167,79.9833,82,Pasyala,7.0911,80.1394,64.3,65.91,night,weekend,0.807,50.7
2,Pettah,6.9354,79.8517,67,Kahathuduwa,6.7981,80.0133,31.15,40.68,evening_peak,weekday,2,84.39
38,Ja-Ela,7.0733,79.8917,94,Welisara North,7.02,79.89,8.78,12.49,midday,weekend,1.02,11.67
86,Pittugala,6.9133,79.9694,24,Hokandara,6.8494,79.9575,10.41,17.25,morning_peak,weekday,1.8,35.57
87,Gothatuwa,6.9217,79.9856,96,Aluthgama,6.4333,79.9992,68.29,58.2,midday,weekday,1.2,64.99
40,Katunayake,7.1697,79.8847,66,Pannipitiya,6.8308,79.9661,51.57,44.45,evening_peak,weekday,2,79.28
4,Borella,6.9113,79.8778,26,Rajagiriya,6.9111,79.8989,2.58,3.73,evening_peak,weekday,2,6.95
75,Baseline Road,6.9067,79.8869,70,Koswatta,6.9194,79.9211,5.57,10.1,night,weekday,0.85,8.78
38,Ja-Ela,7.0733,79.8917,34,Peliyagoda,6.9711,79.8906,17.7,17.43,evening_peak,weekday,2,38.31
87,Gothatuwa,6.9217,79.9856,86,Pittugala,6.9133,79.9694,2.97,5.71,morning_peak,weekend,1.17,7.43
40,Katunayake,7.1697,79.8847,98,Kosgama,6.8856,80.1681,66.12,69.76,evening_peak,weekday,2,125.93
45,Divulapitiya,7.2278,80.06,17,Maharagama,6.8467,79.9283,58.76,66.89,midday,weekday,1.2,80.72
